title,content,category
Python,"Python is a high-level, interpreted programming language. It emphasizes code readability with its notable use of significant whitespace.",Programming
NumPy,"NumPy is the fundamental package for numerical computing with Python. It provides support for arrays and matrices, along with a collection of mathematical functions. ![NumPy Logo](https://numpy.org/images/logo.svg)",Library
Pandas,"Pandas is a powerful data manipulation and analysis library. It provides data structures like DataFrames that simplify working with structured data. ![Pandas Logo](https://pandas.pydata.org/static/img/pandas_white.svg)",Library
Matplotlib,"Matplotlib is a plotting library that creates static, animated, and interactive visualizations in Python. ![Matplotlib Plot](https://matplotlib.org/_static/logo2_compressed.svg)",Library
Scikit-learn,"Scikit-learn is a simple and efficient library for machine learning, offering tools for classification, regression, clustering, and dimensionality reduction. ![Scikit-learn](https://scikit-learn.org/stable/_static/scikit-learn-logo-small.png)",Machine Learning
Flask,"Flask is a lightweight WSGI web application framework in Python. It is designed to make getting started quick and easy, with the ability to scale up to complex applications. ![Flask Logo](https://flask.palletsprojects.com/en/2.2.x/_images/flask-logo.png)",Web Framework
TensorFlow,"TensorFlow is a comprehensive open-source platform for machine learning developed by Google. It offers tools for building and deploying ML models. ![TensorFlow](https://upload.wikimedia.org/wikipedia/commons/2/2d/Tensorflow_logo.svg)",Machine Learning
PyTorch,"PyTorch is an open-source deep learning platform developed by Facebook's AI Research lab. It is known for its flexibility and ease of use in research. ![PyTorch](https://pytorch.org/assets/images/pytorch-logo.png)",Machine Learning
OpenCV,"OpenCV (Open Source Computer Vision Library) is an open-source computer vision and machine learning software library. It has over 2500 optimized algorithms. ![OpenCV](https://opencv.org/wp-content/uploads/2020/07/OpenCV_logo_black-2.png)",Computer Vision
Seaborn,"Seaborn is a data visualization library based on matplotlib. It provides a high-level interface for drawing attractive and informative statistical graphics. ![Seaborn](https://seaborn.pydata.org/_static/logo-wide-lightbg.svg)",Library
Plotly,"Plotly is an interactive graphing library that enables the creation of web-based visualizations like line charts, bar graphs, and 3D plots. ![Plotly](https://images.plot.ly/logo/new-branding/plotly-logomark.png)",Library
BeautifulSoup,"BeautifulSoup is a Python library used for pulling data out of HTML and XML files. It creates parse trees from page source code. ![BeautifulSoup](https://www.crummy.com/software/BeautifulSoup/bs4/doc/_images/6.1.jpg)",Web Scraping
Requests,"Requests is a simple HTTP library for Python, built for human beings. It allows sending HTTP requests easily. ![Requests](https://requests.readthedocs.io/en/latest/_static/requests-sidebar.png)",Networking
Tkinter,"Tkinter is the standard GUI library for Python. It provides tools to create graphical user interfaces. ![Tkinter](https://files.realpython.com/media/Tkinter_Walkthrough_Watermarked.71558ae6bf94.jpg)",GUI
Django,"Django is a high-level Python web framework that encourages rapid development and clean, pragmatic design. ![Django](https://static.djangoproject.com/img/logos/django-logo-negative.png)",Web Framework
FastAPI,"FastAPI is a modern, fast web framework for building APIs with Python 3.7+ based on standard Python type hints. ![FastAPI](https://fastapi.tiangolo.com/img/logo-margin/logo-teal.png)",Web Framework
